r_mean,r_median,g_mean,g_median,b_mean,b_median,labels
71.766416,59.0,64.417184,48.0,63.042896,37.0,face
113.836128,109.0,96.912352,92.0,83.792176,67.0,face
137.009936,122.0,115.677312,95.0,113.035792,92.0,face
133.947264,142.0,116.974128,121.0,84.28344,80.0,face
102.458304,98.0,84.041456,85.0,62.737232,49.0,face
136.2436,145.0,95.026384,90.0,87.667872,76.0,face
99.109872,118.0,95.252288,115.0,93.509696,113.0,face
113.952144,106.0,89.573104,60.0,65.999776,33.0,face
159.089216,164.0,148.596496,161.0,139.360992,122.0,face
94.49952,78.0,58.15496,35.0,43.184128,27.0,face
117.120304,147.0,99.950512,113.0,76.197968,87.0,face
133.216592,140.0,106.892352,89.0,88.763232,75.0,face
107.085456,93.0,101.594768,98.0,99.705104,94.0,face
67.672256,29.0,57.195056,25.0,48.241904,22.0,face
79.253536,51.0,58.151648,37.0,49.629248,31.0,face
121.996688,111.0,113.942464,99.0,106.152736,94.0,face
44.56912,28.0,30.706208,20.0,27.36616,21.0,face
0.823312,0.0,89.350624,89.0,170.440416,170.0,landscape
125.772096,129.0,99.651488,94.0,94.802048,80.0,face
50.87016,12.0,40.598544,10.0,35.173472,7.0,face
45.108368,43.0,51.682912,50.0,61.0088,60.0,landscape
105.30056,105.0,169.185168,169.0,211.328352,211.0,landscape
151.533056,152.0,163.537056,164.0,193.210384,193.0,landscape
54.52168,55.0,37.464912,38.0,28.295552,29.0,landscape
74.304688,63.0,73.506656,61.0,74.86776,63.0,landscape
193.776336,194.0,190.0396,190.0,198.788016,198.0,landscape
93.945184,100.0,89.489424,95.0,87.995312,93.0,face
65.011168,46.0,59.62272,53.0,39.187568,24.0,face
88.0708,84.0,76.200144,65.0,54.906272,33.0,face
109.124016,112.0,91.79168,90.0,80.096352,72.0,face
69.361056,29.0,57.62912,25.0,35.04944,6.0,face
133.122528,145.0,124.431136,121.0,107.34568,95.0,face
68.501456,67.0,114.49768,114.0,186.410704,187.0,landscape
86.214784,79.0,77.889072,66.0,52.604544,33.0,face
111.319216,110.0,62.11512,62.0,47.100624,47.0,landscape
116.351936,128.0,102.16904,109.0,77.352528,72.0,face
91.852784,73.0,68.035728,48.0,53.605424,39.0,face
149.104368,160.0,72.245952,55.0,73.39792,56.0,face
64.710848,31.0,53.224048,22.0,53.87656,21.0,face
107.165232,73.0,92.328336,80.0,91.801472,72.0,face
